;id;label;community
414;415;ZAMANI, M.;86.0
415;416;NARVAEZ, E.;0.0
416;417;LABBE, F.;12.0
417;418;PADILLA, V.S.;7.0
418;419;OLIVEIRA, M.;8.0
419;420;E., OCHOA;0.0
420;421;ESCOBAR, L.E.;40.0
421;422;ARGUELLO GUEVARA, W.;1.0
422;423;ORTIZ MOREJON, E.;20.0
423;424;D'AMICO, M.;2.0
424;425;RAYAS, J.A.;12.0
425;426;NAVARRETE, W.P.;25.0
426;427;V.R., GRANDA;9.0
427;428;AGUILAR BOHORQUEZ, J.;10.0
428;429;HOUBRAKEN, M.;2.0
429;430;CROUE, J. P.;5.0
430;431;SAENZ DE VITERI JESSICA, G.;49.0
431;432;CALERO, V.;7.0
432;433;STEWART IBARRA, A.M.;1.0
433;434;ROSADO, J.A.;102.0
434;435;MARTINEZ MALDONADO, R.;0.0
435;436;SANDOVAL DENIS, M.;21.0
436;437;C., VILLALBA;5.0
437;438;MUNOZ, M.;1.0
438;439;GARCIA, J.C.;0.0
439;440;ANDERSSON, M.;23.0
440;441;O.P.;39.0
441;442;VILLANUEVA, R.;5.0
442;443;ZAMBRANO, D.;0.0
443;444;MORA PINARGOTE, C.A.;3.0
444;445;NACIPUCHA, D.;95.0
445;446;VILLACRESES, K.B.;25.0
446;447;PAVLOVSKAIA, E.;6.0
447;448;TERNIER, S.;0.0
448;449;MIRANDA, M.;2.0
449;450;CARPIO, C.;32.0
450;451;MOLINA, M.G.;7.0
451;452;HELGUERO, M.;0.0
452;453;FRICKE, N.;55.0
453;454;VACA RUIZ, C.;64.0
454;455;PEREZ JIMENEZ, R.;29.0
455;456;MONTES DE OCA PORTO, R.;3.0
456;457;ALVAREZ, M.A.;112.0
457;458;GUITARRA, S.;75.0
458;459;IONESCU, C.M.;1.0
459;460;NGUYEN, T.H.T.;2.0
460;461;DOMINGUEZ GRANDA, L.E.;44.0
461;462;CASTILLO, G.;4.0
462;463;(...), PEREZ MARTINEZ;21.0
463;464;PAREDES, R.;41.0
464;465;MARCILLO GALLINO, E.;58.0
465;466;(...), BAREA;43.0
466;467;BELLERBY, R.G.J.;1.0
467;468;SANCHEZ, E.;2.0
468;469;GONZALEZ, A.;7.0
469;470;BARRAGAN LUCAS, A.D.;2.0
470;471;VARGAS, J.;3.0
471;472;MORALES CARRERA, A.M.;77.0
472;473;S., SOSA;21.0
473;474;MARTINEZ VILLALUENGA, C.;30.0
474;475;VIRKKALA, N.;1.0
475;476;WASHINGTON, V.V.;80.0
476;477;(...), TERNIER;0.0
477;478;ACOSTA, V.;1.0
478;479;(...), BORBOR CORDOVA;40.0
479;480;PEREZ, F.;2.0
480;481;GARCIA GARIZABAL, I.;33.0
481;482;GRANDA, R.;0.0
482;483;ALCIVAR, G.;1.0
483;484;TAVARES, W.L.;38.0
484;485;VOLK, M.;10.0
485;486;VAZIRI HAMANEH, V.;6.0
486;487;PRIETO, L.P.;0.0
487;488;MIRANDA MARTINEZ, M.;3.0
488;489;PINDO, J.C.;10.0
489;490;(...), PANCHANA;6.0
490;491;(...), MAEDA MARTINEZ;1.0
491;492;PITA, O.;0.0
492;493;VILLAMAR, R.M.;
493;494;OCHOA, X;0.0
494;495;FRIZERA, A.;8.0
495;496;DANYLUK, M.D.;3.0
496;497;VILLAVICENCIO, A.M.;7.0
497;498;YANEZ, W.;7.0
498;499;E., CHILUIZA;0.0
499;500;BOERO, A.J.;5.0
500;501;SANCHEZ, J.R.P.;
501;502;ROMERO FEREIRA, P.;1.0
502;503;GUALE, A.;50.0
503;504;BASTIDAS, L.;2.0
504;505;J.A.;4.0
505;506;JARAMILLO, K.B.;39.0
506;507;DA SILVA, B.;0.0
507;508;ULLOA, N.A.;5.0
508;509;SOLANO SOLANO, J.;57.0
509;510;ALAVA, H.E.;59.0
510;511;Y.C., BALIGAR;18.0
511;512;HOUGHTON, L.;81.0
512;513;FENG, Y.;13.0
513;514;FINKELSTEIN, J.L.;1.0
514;515;WOUTERS, R.;2.0
515;516;CORTEZ, M.V.;71.0
516;517;REUTER, H.;65.0
