Source;Target;Weight
Velasquez, W.;Salvachua, J.;2
Alvarez-Alvarado, M.S.;Salvachua, J.;1
Gonzalez, A.;Velasquez, W.;1
Velasquez, W.;Munoz-Arcentales, A.;2
Velasquez, W.;Rodriguez, J.S.;1
Munoz-Arcentales, A.;Rodriguez, J.S.;1
Caio, R.;Copot, C.;1
Caio, R.;Ionescu, C.M.;1
Caio, R.;De Kevser, R.;1
Caio, R.;Plaza, D.;1
Copot, C.;Ionescu, C.M.;1
Copot, C.;De Kevser, R.;1
Copot, C.;Plaza, D.;1
Ionescu, C.M.;De Kevser, R.;1
Ionescu, C.M.;Plaza, D.;1
De Kevser, R.;Plaza, D.;1
Lucas, P.;Vaca, D.;1
Lucas, P.;Dominguez, F.;1
Lucas, P.;Ochoa, X.;1
Vaca, D.;Dominguez, F.;1
Vaca, D.;Ochoa, X.;1
Dominguez, F.;Ochoa, X.;2
Oviedo, I.D.;Altamirano, C.A.;1
Oviedo, I.D.;Millan, M.E.;1
Oviedo, I.D.;Arreaga, N.X.;1
Oviedo, I.D.;Padilla, V.S.;1
Altamirano, C.A.;Millan, M.E.;1
Altamirano, C.A.;Arreaga, N.X.;1
Altamirano, C.A.;Padilla, V.S.;1
Millan, M.E.;Arreaga, N.X.;1
Millan, M.E.;Padilla, V.S.;1
Soria, X.;Sappa, A.D.;3
Charco, J.L.;Vintimilla, B.X.;1
Charco, J.L.;Sappa, A.D.;1
Quelal, R.E.;Villavicencio, M.;1
Quelal, R.E.;Mendoza, L.E.;1
Wong-Villacres, M.;Kumar, A.;1
Kumar, A.;Vishwanath, A.;1
Kumar, A.;DiSalvo, B.;1
Kumar, A.;Kumar, N.;1
Vishwanath, A.;DiSalvo, B.;1
Castillo, G.;Layedra, F.;1
Castillo, G.;Guaranda, M.-B.;1
Castillo, G.;Lara, P.;1
Castillo, G.;Vaca, C.;2
Layedra, F.;Guaranda, M.-B.;1
Layedra, F.;Lara, P.;1
Guaranda, M.-B.;Lara, P.;1
Guaranda, M.-B.;Vaca, C.;1
Lara, P.;Vaca, C.;1
Kuffo, L.;Vaca, C.;1
Kuffo, L.;Izquierdo, E.;1
Kuffo, L.;Bustamante, J.C.;1
Fiallos, A.;Fiallos, C.;1
Fiallos, A.;Figueroa, S.;1
Jimenes, K.;Fiallos, C.;1
Jimenes, K.;Figueroa, S.;1
Fiallos, C.;Figueroa, S.;1
Alomari, A.;April, A.;1
Alomari, A.;Monsalve, C.;1
Alomari, A.;Gawanmeh, A.;1
April, A.;Monsalve, C.;6
April, A.;Gawanmeh, A.;1
Monsalve, C.;Gawanmeh, A.;1
Evans, H.I.;Wong-Villacres, M.;1
Evans, H.I.;Castro, D.;1
Evans, H.I.;Dye, M.;1
Evans, H.I.;Bruckman, A.;1
Wong-Villacres, M.;Castro, D.;1
Wong-Villacres, M.;Dye, M.;1
Wong-Villacres, M.;Bruckman, A.;1
Castro, D.;Dye, M.;1
Castro, D.;Bruckman, A.;1
Dye, M.;Bruckman, A.;1
Abad, C.L.;Eyk, E.V.;1
Boza, E.F.;Eyk, E.V.;1
Van Eyk, E.;Iosup, A.;1
Van Eyk, E.;Abad, C.L.;1
Van Eyk, E.;Grohmann, J.;1
Van Eyk, E.;Eismann, S.;1
Iosup, A.;Grohmann, J.;1
Iosup, A.;Eismann, S.;1
Abad, C.L.;Grohmann, J.;1
Abad, C.L.;Eismann, S.;1
Grohmann, J.;Eismann, S.;1
Bonilla, R.I.;Abad, C.L.;2
Carrillo, G.E.;Abad, C.L.;1
Bonilla, R.I.;Crow, J.J.;1
Bonilla, R.I.;Basantes, L.S.;1
Bonilla, R.I.;Cruz, L.G.;1
Crow, J.J.;Basantes, L.S.;1
Crow, J.J.;Cruz, L.G.;1
Basantes, L.S.;Cruz, L.G.;1
Soria, X.;Akbarinia, A.;1
Sappa, A.D.;Akbarinia, A.;1
Ochoa, X.;Domínguez, F.;3
Ochoa, X.;Guamán, B.;4
Ochoa, X.;Falcones, G.;1
Ochoa, X.;Castells, J.;4
Domínguez, F.;Guamán, B.;1
Domínguez, F.;Falcones, G.;1
Domínguez, F.;Castells, J.;1
Guamán, B.;Falcones, G.;1
Guamán, B.;Castells, J.;4
Falcones, G.;Castells, J.;3
Echeverria, V.;Granda, R.;2
Echeverria, V.;Conati, C.;1
Martinez-Maldonado, R.;Granda, R.;1
Martinez-Maldonado, R.;Conati, C.;1
Granda, R.;Conati, C.;1
Granda, R.;Shum, S.B.;1
Conati, C.;Shum, S.B.;1
Shum, S.B.;Ferguson, R.;1
Shum, S.B.;Merceron, A.;1
Shum, S.B.;Ochoa, X.;1
Ferguson, R.;Merceron, A.;1
Ferguson, R.;Ochoa, X.;1
Merceron, A.;Ochoa, X.;1
Phatak, S.S.;Freigoun, M.T.;1
Phatak, S.S.;Martín, C.A.;1
Phatak, S.S.;Klasnja, P.;1
Phatak, S.S.;Hekler, E.B.;2
Freigoun, M.T.;Martín, C.A.;1
Freigoun, M.T.;Klasnja, P.;1
Freigoun, M.T.;Hekler, E.B.;1
Martín, C.A.;Klasnja, P.;1
Martín, C.A.;Hekler, E.B.;3
Klasnja, P.;Hekler, E.B.;1
Velásquez, W.;Munoz-Arcentales, A.;3
Velásquez, W.;Chalén, T.M.;1
Munoz-Arcentales, A.;Chalén, T.M.;1
Munoz-Arcentales, A.;Salvachúa, J.;2
Chalén, T.M.;Salvachúa, J.;1
Munoz-Arcentales, A.;Montoya, A.;1
Munoz-Arcentales, A.;Chalen, M.;1
Montoya, A.;Chalen, M.;1
Montoya, A.;Velásquez, W.;1
Velasquez, W.;Yanez, W.;1
Munoz-Arcentales, A.;Yanez, W.;1
Munoz-Arcentales, A.;Salvachua, J.;1
Yanez, W.;Salvachua, J.;1
Mendieta, M.;Martin, C.A.;1
Mendieta, M.;Abad, C.L.;1
Martin, C.A.;Abad, C.L.;1
Campana, F.;Pinargote, A.;1
Campana, F.;Pelaez, E.;1
Pinargote, A.;Dominguez, F.;1
Pinargote, A.;Pelaez, E.;1
Dominguez, F.;Pelaez, E.;1
Recalde, A.;Quimis, M.;1
Recalde, A.;Romero, C.;1
Endara, I.;Quimis, M.;1
Endara, I.;Romero, C.;1
Quimis, M.;Romero, C.;1
Torres, J.;Ochoa, A.;1
Torres, J.;Jimenez, A.;2
Torres, J.;Pelaez, E.;1
Torres, J.;Ochoa, X.;2
Ochoa, A.;Jimenez, A.;1
Ochoa, A.;Pelaez, E.;1
Ochoa, A.;Ochoa, X.;1
Jimenez, A.;Pelaez, E.;1
Jimenez, A.;Ochoa, X.;2
Pelaez, E.;Ochoa, X.;1
Castro, S.J.;Boza, E.F.;1
Castro, S.J.;Abad, C.L.;1
Loayza, K.;Pelaez, E.;1
Lucas, P.;Pelaez, E.;1
Jurado, D.;Maya, R.;1
Jurado, D.;Dominguez, F.;1
Jurado, D.;Ochoa, X.;1
Maya, R.;Dominguez, F.;1
Maya, R.;Ochoa, X.;1
Boza, E.F.;Plaza, J.A.;1
Abad, C.L.;Plaza, J.A.;1
Villavicencio, M.;Plaza, J.A.;1
Quimba, S.;Plaza, J.A.;1
Asanza, V.;Martin, C.A.;1
Asanza, V.;Eslambolchilar, P.;1
Asanza, V.;Cajo, R.;1
Asanza, V.;Salazar, C.;1
Martin, C.A.;Eslambolchilar, P.;1
Martin, C.A.;Cajo, R.;1
Martin, C.A.;Salazar, C.;1
Eslambolchilar, P.;Cajo, R.;1
Eslambolchilar, P.;Salazar, C.;1
Cajo, R.;Salazar, C.;1
