source,target,peso
12816,28507,1
13659,26737,3
22054,26737,3
13659,22054,4
7360,13589,1
7360,18993,1
7360,29949,1
7360,8014,1
13589,18993,1
13589,29949,1
8014,13589,5
18993,29949,1
8014,18993,1
8014,29949,1
14633,32899,1
11898,32899,6
11898,14633,1
8701,21561,1
21561,31430,3
18252,21561,1
21561,24153,3
8701,31430,1
8701,18252,1
8701,24153,1
18252,31430,1
24153,31430,5
18252,24153,1
10847,17199,1
17199,24549,1
17199,24478,1
17199,27251,1
10847,24549,1
10847,24478,1
10847,27251,2
24478,24549,1
24549,27251,1
24478,27251,1
1961,23445,1
23445,36288,1
23445,26572,4
1961,36288,1
26572,36288,1
26390,34811,1
9959,34811,1
32620,34811,1
9959,26390,1
26390,32620,3
9959,32620,1
6746,26399,1
6746,19431,2
6746,11039,13
6746,30953,1
19431,26399,1
11039,26399,1
26399,30953,1
11039,19431,2
19431,30953,1
11039,30953,1
473,8183,1
473,24540,1
473,10712,1
473,28593,1
8183,24540,1
8183,10712,1
8183,28593,1
10712,24540,1
24540,28593,1
10712,28593,1
8101,29929,1
3966,29929,1
1993,29929,1
5036,29929,1
3966,8101,1
1993,8101,4
5036,8101,1
1993,3966,1
3966,5036,1
1993,5036,1
1485,5190,3
5190,23135,4
5190,5519,4
1485,23135,3
1485,5519,3
1485,35026,3
5519,23135,4
23135,35026,4
5519,35026,4
15305,21637,1
16977,21637,1
12318,21637,1
6192,21637,1
15305,16977,1
12318,15305,1
6192,15305,1
12318,16977,1
6192,16977,1
6192,12318,1
6888,17075,1
6888,24959,5
17075,24959,1
13894,14954,5
13894,27128,1
14954,27128,1
14906,31794,1
22502,31794,1
7298,31794,3
2084,31794,3
14906,22502,1
7298,14906,1
2084,14906,1
7298,22502,1
2084,22502,1
2084,7298,9
16325,32042,1
10362,29138,1
21638,29138,1
24418,29138,1
29138,29542,1
10362,21638,1
10362,24418,1
10362,29542,1
21638,24418,1
21638,29542,1
24418,29542,1
5730,13507,3
5730,26508,1
5730,16840,1
13507,26508,1
13507,16840,1
